date,ticker,open,high,low,close,volume
2024-05-03,AAPL,186.65,187.0,182.66,183.38,163224109
2024-05-06,AAPL,182.35,184.2,180.42,181.71,78319667
2024-05-07,AAPL,183.45,184.9,181.32,182.4,77298571
2024-05-08,AAPL,182.85,183.07,181.45,182.74,45057087
2024-05-09,AAPL,182.56,184.66,182.11,184.57,48948972
2024-05-10,AAPL,184.9,185.09,182.13,183.05,50745096
2024-05-13,AAPL,185.44,187.1,184.62,186.28,71969409
2024-05-14,AAPL,187.51,188.3,186.29,187.43,52393619
2024-05-15,AAPL,187.91,190.65,187.37,189.72,70381988
2024-05-16,AAPL,190.47,191.09,189.66,189.84,52845230
2024-05-17,AAPL,189.51,190.81,189.18,189.87,41282925
2024-05-20,AAPL,189.32,191.92,189.01,191.04,44361275
2024-05-21,AAPL,191.09,192.73,190.92,192.35,42309401
2024-05-22,AAPL,192.26,192.82,190.27,190.9,34648547
2024-05-23,AAPL,190.98,191.0,186.62,186.88,51005924
2024-05-24,AAPL,188.82,190.58,188.04,189.98,36326975
2024-05-28,AAPL,191.51,193.0,189.1,189.99,52230051
2024-05-29,AAPL,189.61,192.25,189.51,190.29,53068016
2024-05-30,AAPL,190.76,192.18,190.63,191.29,49947941
2024-05-31,AAPL,191.44,192.57,189.91,192.25,75158277
2024-06-03,AAPL,192.9,194.99,192.52,194.03,50078439
2024-06-04,AAPL,194.63,195.32,193.03,194.35,47471445
2024-06-05,AAPL,195.4,196.9,194.87,195.87,54156785
2024-06-06,AAPL,195.69,196.5,194.17,194.48,41162753
2024-06-07,AAPL,194.65,196.94,194.14,196.89,53085712
2024-06-10,AAPL,196.9,197.3,192.15,193.12,97262077
2024-06-11,AAPL,193.65,207.16,193.63,207.15,172116296
2024-06-12,AAPL,207.37,220.2,206.9,213.07,198109293
2024-06-13,AAPL,214.74,216.75,211.6,214.24,97750229
2024-06-14,AAPL,213.85,215.17,211.3,212.49,70108898
2024-06-17,AAPL,213.37,218.95,212.72,216.67,93689100
2024-06-18,AAPL,217.59,218.63,213.0,214.29,79943254
2024-06-20,AAPL,213.93,214.24,208.85,209.68,86095783
2024-06-21,AAPL,210.39,211.89,207.11,207.49,246421353
2024-06-24,AAPL,207.72,212.7,206.59,208.14,80721906
2024-06-25,AAPL,209.15,211.38,208.61,209.07,56280868
2024-06-26,AAPL,211.5,214.86,210.64,213.25,66213186
2024-06-27,AAPL,214.69,215.74,212.35,214.1,49772707
2024-06-28,AAPL,215.77,216.07,210.3,210.62,82538718
2024-07-01,AAPL,212.09,217.51,211.92,216.75,60402929
2024-07-02,AAPL,216.15,220.38,215.1,220.27,58046178
2024-07-03,AAPL,220.0,221.55,219.03,221.55,37269801
2024-07-05,AAPL,221.65,226.45,221.65,226.34,59517108
2024-07-08,AAPL,227.09,227.85,223.25,227.82,59085861
2024-07-09,AAPL,227.93,229.4,226.37,228.68,48013382
2024-07-10,AAPL,229.3,233.08,229.25,232.98,62627687
2024-07-11,AAPL,231.39,232.39,225.77,227.57,64456867
